TEXTPATGEN-QUICKSCRIPT-AWK
X-EF54 X-DF9D X-E2F9 X-86DF X-C5CC X-0800 X-558C X-A8B3 X-128D X-AE24 X-DF0D X-9695 X-463C X-1A01 X-DA46 X-060E
X-E626 X-8C94 X-68DC X-2910 X-33B0 X-7C83 X-5BC9 X-A8D2 X-33ED X-667D X-8591 X-0CDF X-6023 X-4469 X-B206 X-2134
X-5D4E X-13A2 X-750F X-A0F5 X-E7E8 X-A426 X-2662 X-D92A X-76A9 X-F13B X-50E4 X-555F X-0133 X-C48B X-6D75 X-B88B
X-93F8 X-1487 X-C732 X-0423 X-FF13 X-B9CE X-E9BC X-906D X-D169 X-347F X-9682 X-C139 X-DE64 X-54EB X-B149 X-4ABF
X-27B9 X-704A X-8971 X-BC44 X-4870 X-F996 X-DD72 X-F1B2 X-1C94 X-B5DA X-F6B2 X-0597 X-D27E X-40B9 X-F44C X-BD3E
X-EAEB X-6FD1 X-F9A1 X-030B X-4481 X-7755 X-AB57 X-A72F X-ED00 X-0CFF X-F36F X-ECB4 X-FA3F X-C612 X-B0C6 X-3B63
X-681A X-3E18 X-3351 X-4F91 X-0B2F X-BF7B X-D893 X-659C X-8467 X-DF50 X-83F4 X-3701 X-8067 X-641C X-9A7C X-9990
X-A29C X-9903 X-F282 X-96DC X-7448 X-D8A6 X-D171 X-E441 X-9B6D X-5A77 X-51BC X-0E48 X-9684 X-D52E X-5C8A X-90CA
X-E3F4 X-0E27 X-E71F X-8419 X-5767 X-BE95 X-984C X-5BF8 X-D411 X-64F0 X-AA36 X-C393 X-9C8F X-8647 X-2584 X-F77E
X-A25F X-35EF X-84F2 X-76C5 X-A5E8 X-F3F2 X-C9E6 X-A875 X-B265 X-9A53 X-A8F7 X-C3BB X-CFE6 X-AD25 X-1998 X-DEF9
X-0EE3 X-42D1 X-7BBD X-CE09 X-D932 X-6866 X-05A7 X-AF41 X-7BBF X-B379 X-B6DA X-5A58 X-61B5 X-2CAE X-84B9 X-8DDB
X-93DF X-9DB6 X-1D2B X-635E X-357E X-0269 X-B1C9 X-C83A X-3085 X-8B17 X-2EB5 X-45E6 X-E59A X-1560 X-AD06 X-1F6F
X-DD5C X-DA99 X-A74B X-8EAD X-F469 X-3A32 X-34C4 X-9B96 X-F3FE X-2274 X-2FF2 X-ECEF X-D09D X-D692 X-DCE0 X-5376
X-06B8 X-63C5 X-D4B3 X-9304 X-49F0 X-31BF X-E02B X-3767 X-589E X-A8FB X-3993 X-F7AE X-4B0E X-EA4D X-A4A0 X-E34F
X-4A28 X-8F2A X-E646 X-9FB3 X-8305 X-DCF8 X-2A1C X-C77F X-C161 X-B625 X-EA77 X-237C X-A111 X-7101 X-AB69 X-1B38
X-DB75 X-B574 X-510B X-0C06 X-A990 X-655C X-7E5D X-7BBF X-CE84 X-4618 X-C28D X-ED78 X-C288 X-00E2 X-096A X-D978
